All numbers are per year,,,,,
,Recruits,Percentage of seedlings that died due to light limitation,Percentage of seedlings that died due to competition with other seedlings,Percentage of seedlings that died due to competition with established trees,Recruitment percentage (Percentage of seedlings that lead to new recruits)
,198724,0.666198313,0.121920705,0.135175258,0.076705705
,158524,0.689897597,0.109585196,0.141080409,0.059436775
,162856,0.684423149,0.113122083,0.140728608,0.061726177
,173029,0.67884618,0.115966111,0.139506444,0.065681284
,122207,0.710155189,0.099341109,0.144698247,0.045805427
,160792,0.694666266,0.102545463,0.142369404,0.060418865
,143331,0.697536111,0.109432839,0.1386206,0.05441045
,92320,0.722455084,0.09232787,0.150227591,0.034989445
,240218,0.631070316,0.146078691,0.128039882,0.094811118
,177616,0.675814331,0.115845814,0.140320033,0.068019843
,121257,0.704244018,0.101679765,0.148104325,0.045971882
,118270,0.705542803,0.103199206,0.146122634,0.045135364
,137301,0.707847536,0.098195963,0.14241001,0.051546516
,136202,0.704874635,0.096888177,0.147017017,0.051220165
,118460,0.7098822,0.099586345,0.146484837,0.04404659
,183038,0.67479223,0.120058604,0.134186536,0.070962647
,172351,0.677398086,0.119449414,0.137031972,0.066120544
,191250,0.667164087,0.122242145,0.136863321,0.07373042
,169712,0.678632081,0.117516041,0.137825876,0.066026009
,88121,0.724349618,0.090759382,0.152058616,0.032832395
,228063,0.645483494,0.133742467,0.132196665,0.088577374
,132896,0.70014751,0.103284165,0.145999134,0.050569216
,94289,0.725785196,0.087304235,0.151711479,0.035199064
,178346,0.677596688,0.117403366,0.136858582,0.068141396
,173152,0.679643452,0.118305527,0.135230899,0.066820102
,184910,0.669362187,0.12206196,0.137307033,0.071268813
,143356,0.694088161,0.107201114,0.144590154,0.054120601
,213518,0.654418707,0.130670026,0.133072466,0.081838799
,172502,0.678590536,0.119149916,0.136336967,0.065922559
,185477,0.668662608,0.124902286,0.134620354,0.071814738
,173841,0.675040722,0.119040601,0.138944075,0.066974569
,83372,0.728305697,0.090688549,0.15007925,0.030926523
,184079,0.670576513,0.121947996,0.136891887,0.070583629
,223331,0.647902191,0.132391691,0.132084891,0.087621228
,150474,0.694378972,0.105314672,0.143128723,0.05717762
,108495,0.712610185,0.098954648,0.147406384,0.041028785
,171840,0.683382154,0.111233048,0.139767587,0.065617189
,222368,0.656405091,0.128683999,0.130425245,0.084485648
,154042,0.686573505,0.113684647,0.141002446,0.058739392
,125099,0.710646331,0.096386001,0.146339402,0.046628275
,111240,0.71719265,0.094039746,0.14736928,0.041398313
,130861,0.707548618,0.095817298,0.147516876,0.04911724
