Initial tree cover (fraction),Tree cover (fraction) after 200 years
0.33,0.279851347208023
0.33,0.279661446809768
0.33,0.287952482700347
0.33,0.279925137758255
0.33,0.283840060234069
0.33,0.28110134601593
0.33,0.274701595306396
0.33,0.273522138595581
0.33,0.299294710159301
0.33,0.276570081710815
0.33,0.289021253585815
0.33,0.275802940130233
0.33,0.286852210760116
0.33,0.278987616300582
0.33,0.279292523860931
0.33,0.279454201459884
0.33,0.287258028984069
0.33,0.274820953607559
0.33,0.28783094882965
0.33,0.275718301534652
0.33,0.287153869867324
0.33,0.277664929628372
0.33,0.274686425924301
0.33,0.287284076213836
0.36,0.311446398496627
0.36,0.303704440593719
0.36,0.307833105325698
0.36,0.309544265270233
0.36,0.312626957893371
0.36,0.306572258472442
0.36,0.303819447755813
0.36,0.300513237714767
0.36,0.322365462779998
0.36,0.324230670928955
0.36,0.31537976861
0.36,0.316998690366745
0.36,0.29534289240837
0.36,0.3076171875
0.36,0.308064222335815
0.36,0.310220271348953
0.36,0.317010641098022
0.36,0.309927314519882
0.36,0.313799917697906
0.36,0.307312279939651
0.36,0.326143652200698
0.36,0.30204427242278997
0.36,0.295968979597091
0.36,0.288650184869766
0.39,0.345027118921279
0.39,0.347139745950698
0.39,0.340936422348022
0.39,0.347686618566513
0.39,0.340341806411743
0.39,0.338463544845581
0.39,0.364085286855697
0.39,0.342014968395233
0.39,0.349749356508255
0.39,0.348845481872558
0.39,0.342687726020813
0.39,0.345690101385116
0.39,0.343462467193603
0.39,0.34368273615837
0.39,0.348835706710815
0.39,0.345309257507324
0.39,0.346768677234649
0.39,0.341751307249069
0.39,0.352293848991394
0.39,0.335442721843719
0.39,0.347727864980697
0.42,0.379952251911163
0.42,0.36738497018814
0.42,0.375820308923721
0.42,0.361538618803024
0.42,0.375763893127441
0.42,0.366406261920928
0.42,0.379729807376861
0.42,0.377381742000579
0.42,0.373127162456512
0.42,0.380571842193603
0.42,0.362034499645233
0.42,0.377805978059768
0.42,0.375890851020813
0.42,0.362382799386978
0.42,0.370967894792556
0.42,0.360784500837326
0.42,0.377943783998489
0.42,0.365681409835815
0.45,0.397777765989303
0.45,0.391197919845581
0.45,0.399763464927673
0.45,0.393781453371048
0.45,0.406075298786163
0.45,0.404249131679534
0.45,0.398365885019302
0.45,0.40619358420372
0.45,0.386191397905349
0.45,0.400435119867324
0.45,0.400059670209884
0.45,0.401483297348022
0.45,0.40800455212593
0.45,0.397133260965347
0.45,0.40595918893814
0.45,0.404983729124069
0.45,0.39485678076744
0.45,0.396939009428024
0.48,0.447230905294418
0.48,0.951588571071624
0.48,0.950259327888488
0.48,0.950056433677673
0.48,0.442335069179534
0.48,0.95108938217163
0.48,0.95126736164093
0.48,0.756674289703369
0.48,0.950844168663024
0.48,0.441803395748138
0.48,0.439836144447326
0.48,0.951151251792907
0.48,0.950270175933837
0.48,0.7747243642807
0.48,0.438216149806976
0.48,0.44897785782814
0.48,0.800882160663604
0.48,0.95063042640686
0.51,0.950575113296508
0.51,0.47305554151535
0.51,0.953352868556976
0.51,0.950998246669769
0.51,0.951335728168487
0.51,0.951839208602905
0.51,0.952577054500579
0.51,0.478276908397674
0.51,0.80010849237442
0.51,0.952018201351165
0.51,0.95130968093872
0.51,0.950651049613952
0.51,0.951305329799652
0.51,0.951086163520813
0.51,0.950459003448486
0.51,0.796975910663604
0.51,0.782099604606628
0.51,0.697326362133026
0.54,0.950122594833374
0.54,0.950926661491394
0.54,0.697646498680114
0.54,0.951988935470581
0.54,0.951651453971862
0.54,0.683345258235931
0.54,0.947478294372558
0.54,0.65723305940628
0.54,0.950185537338256
0.54,0.765957057476043
0.54,0.789496541023254
0.54,0.950536012649536
0.54,0.950512170791626
0.54,0.950310349464416
0.54,0.951172947883606
0.54,0.67689561843872
0.54,0.951144754886627
0.54,0.950692296028137
0.58,0.950598955154419
0.58,0.950144290924072
0.58,0.950773656368255
0.58,0.950990676879882
0.58,0.950598955154419
0.58,0.767416477203369
0.58,0.951461613178253
0.58,0.951254367828369
0.58,0.950221359729766
0.58,0.950736761093139
0.58,0.950218081474304
0.58,0.950051009654998
0.58,0.950406908988952
0.58,0.95111870765686
0.58,0.95085722208023
0.58,0.907861351966857
0.58,0.708856344223022
0.58,0.950945079326629
0.61,0.950239777565002
0.61,0.950092256069183
0.61,0.950825750827789
0.61,0.950625002384185
0.61,0.950820326805114
0.61,0.95029079914093
0.61,0.950259327888488
0.61,0.950469851493835
0.61,0.950723767280578
0.61,0.950175762176513
0.61,0.95060110092163
0.61,0.950341820716857
0.61,0.950609803199768
0.61,0.950959205627441
0.61,0.950094401836395
0.61,0.950168192386627
0.61,0.95082139968872
0.61,0.950566411018371
0.64,0.950610876083374
0.64,0.950529515743255
0.64,0.950300574302673
0.64,0.950562059879303
0.64,0.950507819652557
0.64,0.950190961360931
0.64,0.95029729604721
0.64,0.951018869876861
0.64,0.950233280658721
0.64,0.950196385383606
0.64,0.950429677963256
0.64,0.95035696029663
0.64,0.950149714946746
0.64,0.950524091720581
0.64,0.950240910053253
0.64,0.95005315542221
0.64,0.950276672840118
0.64,0.950168192386627
0.67,0.950476348400116
0.67,0.950081408023834
0.67,0.950711786746978
0.67,0.95046442747116
0.67,0.950305998325347
0.67,0.951574444770813
0.67,0.950160562992096
0.67,0.950374364852905
0.67,0.950301647186279
0.67,0.950087904930114
0.67,0.950117170810699
0.67,0.950295150279998
0.67,0.95021915435791
0.67,0.9507497549057
0.67,0.950162768363952
0.67,0.950233280658721
0.67,0.950555562973022
0.67,0.950454652309417
